,ds_provincia,cod_provincia,value,anio,trimestre,sector
365,Alicante/Alacant,3,149.9,2008,2,Industria
366,AlmerÃ­a,4,24.1,2008,2,Industria
367,Araba/Ã�lava,1,50.9,2008,2,Industria
368,Asturias,33,69.3,2008,2,Industria
369,Ã�vila,5,11.2,2008,2,Industria
370,Badajoz,6,32.8,2008,2,Industria
371,"Balears, Illes",7,40.8,2008,2,Industria
372,Barcelona,8,625.2,2008,2,Industria
373,Bizkaia,48,100.8,2008,2,Industria
374,Burgos,9,44.4,2008,2,Industria
375,CÃ¡ceres,10,20.4,2008,2,Industria
376,CÃ¡diz,11,55.5,2008,2,Industria
377,Cantabria,39,52.4,2008,2,Industria
378,CastellÃ³n/CastellÃ³,12,72.4,2008,2,Industria
379,Ciudad Real,13,31.9,2008,2,Industria
380,CÃ³rdoba,14,44.4,2008,2,Industria
381,"CoruÃ±a, A",15,89.8,2008,2,Industria
382,Cuenca,16,16.7,2008,2,Industria
383,Gipuzkoa,20,97.1,2008,2,Industria
384,Girona,17,78.7,2008,2,Industria
385,Granada,18,39.6,2008,2,Industria
386,Guadalajara,19,19.5,2008,2,Industria
387,Huelva,21,21.3,2008,2,Industria
388,Huesca,22,23.2,2008,2,Industria
389,JaÃ©n,23,38.3,2008,2,Industria
390,LeÃ³n,24,27.4,2008,2,Industria
391,Lleida,25,34.0,2008,2,Industria
392,Lugo,27,21.4,2008,2,Industria
393,Madrid,28,343.0,2008,2,Industria
394,MÃ¡laga,29,51.4,2008,2,Industria
395,Murcia,30,105.9,2008,2,Industria
396,Navarra,31,83.5,2008,2,Industria
397,Ourense,32,28.7,2008,2,Industria
398,Palencia,34,14.3,2008,2,Industria
399,"Palmas, Las",35,28.1,2008,2,Industria
400,Pontevedra,36,91.9,2008,2,Industria
401,"Rioja, La",26,39.5,2008,2,Industria
402,Salamanca,37,19.4,2008,2,Industria
403,Santa Cruz de Tenerife,38,32.2,2008,2,Industria
404,Segovia,40,11.3,2008,2,Industria
405,Sevilla,41,84.8,2008,2,Industria
406,Soria,42,9.3,2008,2,Industria
407,Tarragona,43,78.2,2008,2,Industria
408,Teruel,44,12.8,2008,2,Industria
409,Toledo,45,61.3,2008,2,Industria
410,Valencia/ValÃ¨ncia,46,233.3,2008,2,Industria
411,Valladolid,47,48.7,2008,2,Industria
412,Zamora,49,14.0,2008,2,Industria
413,Zaragoza,50,106.1,2008,2,Industria
414,Ceuta,51,1.1,2008,2,Industria
415,Melilla,52,0.9,2008,2,Industria
416,Albacete,2,6.7,2008,2,ParadosActivos
417,Alicante/Alacant,3,40.3,2008,2,ParadosActivos
418,AlmerÃ­a,4,13.7,2008,2,ParadosActivos
419,Araba/Ã�lava,1,2.7,2008,2,ParadosActivos
420,Asturias,33,15.5,2008,2,ParadosActivos
421,Ã�vila,5,2.1,2008,2,ParadosActivos
422,Badajoz,6,19.4,2008,2,ParadosActivos
423,"Balears, Illes",7,13.6,2008,2,ParadosActivos
424,Barcelona,8,75.4,2008,2,ParadosActivos
425,Bizkaia,48,16.4,2008,2,ParadosActivos
426,Burgos,9,5.5,2008,2,ParadosActivos
427,CÃ¡ceres,10,8.8,2008,2,ParadosActivos
428,CÃ¡diz,11,37.5,2008,2,ParadosActivos
429,Cantabria,39,6.3,2008,2,ParadosActivos
430,CastellÃ³n/CastellÃ³,12,7.3,2008,2,ParadosActivos
431,Ciudad Real,13,11.8,2008,2,ParadosActivos
432,CÃ³rdoba,14,23.4,2008,2,ParadosActivos
433,"CoruÃ±a, A",15,19.7,2008,2,ParadosActivos
434,Cuenca,16,3.6,2008,2,ParadosActivos
435,Gipuzkoa,20,7.3,2008,2,ParadosActivos
436,Girona,17,11.5,2008,2,ParadosActivos
437,Granada,18,22.7,2008,2,ParadosActivos
438,Guadalajara,19,3.7,2008,2,ParadosActivos
439,Huelva,21,10.4,2008,2,ParadosActivos
440,Huesca,22,1.4,2008,2,ParadosActivos
441,JaÃ©n,23,12.3,2008,2,ParadosActivos
442,LeÃ³n,24,8.4,2008,2,ParadosActivos
443,Lleida,25,4.0,2008,2,ParadosActivos
444,Lugo,27,3.5,2008,2,ParadosActivos
445,Madrid,28,98.0,2008,2,ParadosActivos
446,MÃ¡laga,29,37.5,2008,2,ParadosActivos
447,Murcia,30,22.8,2008,2,ParadosActivos
448,Navarra,31,6.5,2008,2,ParadosActivos
449,Ourense,32,3.1,2008,2,ParadosActivos
450,Palencia,34,2.7,2008,2,ParadosActivos
451,"Palmas, Las",35,31.2,2008,2,ParadosActivos
452,Pontevedra,36,15.3,2008,2,ParadosActivos
453,"Rioja, La",26,3.1,2008,2,ParadosActivos
454,Salamanca,37,8.9,2008,2,ParadosActivos
455,Santa Cruz de Tenerife,38,26.6,2008,2,ParadosActivos
456,Segovia,40,3.0,2008,2,ParadosActivos
457,Sevilla,41,40.3,2008,2,ParadosActivos
458,Soria,42,1.5,2008,2,ParadosActivos
459,Tarragona,43,8.2,2008,2,ParadosActivos
460,Teruel,44,1.7,2008,2,ParadosActivos
461,Toledo,45,13.8,2008,2,ParadosActivos
462,Valencia/ValÃ¨ncia,46,41.1,2008,2,ParadosActivos
463,Valladolid,47,8.1,2008,2,ParadosActivos
464,Zamora,49,3.0,2008,2,ParadosActivos
465,Zaragoza,50,10.7,2008,2,ParadosActivos
466,Ceuta,51,3.8,2008,2,ParadosActivos
467,Melilla,52,3.0,2008,2,ParadosActivos
468,Albacete,2,115.7,2008,2,Servicios
469,Alicante/Alacant,3,561.4,2008,2,Servicios
470,AlmerÃ­a,4,183.7,2008,2,Servicios
471,Araba/Ã�lava,1,93.6,2008,2,Servicios
472,Asturias,33,332.0,2008,2,Servicios
473,Ã�vila,5,43.1,2008,2,Servicios
474,Badajoz,6,180.6,2008,2,Servicios
475,"Balears, Illes",7,419.6,2008,2,Servicios
476,Barcelona,8,1875.2,2008,2,Servicios
477,Bizkaia,48,380.1,2008,2,Servicios
478,Burgos,9,107.7,2008,2,Servicios
479,CÃ¡ceres,10,102.6,2008,2,Servicios
480,CÃ¡diz,11,362.5,2008,2,Servicios
481,Cantabria,39,175.7,2008,2,Servicios
482,CastellÃ³n/CastellÃ³,12,171.7,2008,2,Servicios
483,Ciudad Real,13,135.4,2008,2,Servicios
484,CÃ³rdoba,14,212.4,2008,2,Servicios
485,"CoruÃ±a, A",15,339.8,2008,2,Servicios
486,Cuenca,16,49.8,2008,2,Servicios
487,Gipuzkoa,20,220.9,2008,2,Servicios
488,Girona,17,230.8,2008,2,Servicios
489,Granada,18,259.2,2008,2,Servicios
490,Guadalajara,19,77.6,2008,2,Servicios
491,Huelva,21,139.6,2008,2,Servicios
492,Huesca,22,64.8,2008,2,Servicios
493,JaÃ©n,23,158.0,2008,2,Servicios
494,LeÃ³n,24,138.8,2008,2,Servicios
495,Lleida,25,129.2,2008,2,Servicios
496,Lugo,27,91.8,2008,2,Servicios
497,Madrid,28,2590.5,2008,2,Servicios
498,MÃ¡laga,29,493.6,2008,2,Servicios
499,Murcia,30,417.8,2008,2,Servicios
500,Navarra,31,172.4,2008,2,Servicios
501,Ourense,32,88.0,2008,2,Servicios
502,Palencia,34,44.5,2008,2,Servicios
503,"Palmas, Las",35,403.0,2008,2,Servicios
504,Pontevedra,36,270.0,2008,2,Servicios
505,"Rioja, La",26,91.7,2008,2,Servicios
506,Salamanca,37,98.3,2008,2,Servicios
507,Santa Cruz de Tenerife,38,322.2,2008,2,Servicios
508,Segovia,40,45.9,2008,2,Servicios
509,Sevilla,41,609.8,2008,2,Servicios
510,Soria,42,25.9,2008,2,Servicios
511,Tarragona,43,238.5,2008,2,Servicios
512,Teruel,44,36.3,2008,2,Servicios
513,Toledo,45,180.7,2008,2,Servicios
514,Valencia/ValÃ¨ncia,46,820.7,2008,2,Servicios
515,Valladolid,47,170.5,2008,2,Servicios
516,Zamora,49,42.9,2008,2,Servicios
517,Zaragoza,50,303.2,2008,2,Servicios
518,Ceuta,51,26.1,2008,2,Servicios
519,Melilla,52,23.9,2008,2,Servicios
520,Albacete,2,13.7,2008,3,Agricultura
521,Alicante/Alacant,3,36.4,2008,3,Agricultura
522,AlmerÃ­a,4,48.1,2008,3,Agricultura
523,Araba/Ã�lava,1,2.8,2008,3,Agricultura
524,Asturias,33,22.3,2008,3,Agricultura
525,Ã�vila,5,8.1,2008,3,Agricultura
526,Badajoz,6,35.6,2008,3,Agricultura
527,"Balears, Illes",7,5.6,2008,3,Agricultura
528,Barcelona,8,16.9,2008,3,Agricultura
529,Bizkaia,48,9.2,2008,3,Agricultura
530,Burgos,9,10.2,2008,3,Agricultura
531,CÃ¡ceres,10,20.8,2008,3,Agricultura
532,CÃ¡diz,11,25.3,2008,3,Agricultura
533,Cantabria,39,9.8,2008,3,Agricultura
534,CastellÃ³n/CastellÃ³,12,12.7,2008,3,Agricultura
535,Ciudad Real,13,17.0,2008,3,Agricultura
536,CÃ³rdoba,14,35.8,2008,3,Agricultura
